[1,1],[0,null],[1,0],[10,881],[8,65],[60,900997199254740991],[77,90099719925474099999991]
true


bits	Binary	Base4h
1	'0	'G
2	'00	'0
3	'000	'0G
4	'0000	'00
5	'00000	'00G
6	'000000	'000
7	'0000000	'000G
8	'00000000	'0000
8	'00000001	'0001
7	'0000001	'000H
8	'00000010	'0002
8	'00000011	'0003
6	'000001	'001
7	'0000010	'001G
8	'00000100	'0010
8	'00000101	'0011
7	'0000011	'001H
8	'00000110	'0012
8	'00000111	'0013
5	'00001	'00H
6	'000010	'002
7	'0000100	'002G
8	'00001000	'0020
8	'00001001	'0021
7	'0000101	'002H
8	'00001010	'0022
8	'00001011	'0023
6	'000011	'003
7	'0000110	'003G
8	'00001100	'0030
8	'00001101	'0031
7	'0000111	'003H
8	'00001110	'0032
8	'00001111	'0033
4	'0001	'01
5	'00010	'01G
6	'000100	'010
7	'0001000	'010G
8	'00010000	'0100
8	'00010001	'0101
7	'0001001	'010H
8	'00010010	'0102
8	'00010011	'0103
6	'000101	'011
7	'0001010	'011G
8	'00010100	'0110
8	'00010101	'0111
7	'0001011	'011H
8	'00010110	'0112
8	'00010111	'0113
5	'00011	'01H
6	'000110	'012
7	'0001100	'012G
8	'00011000	'0120
8	'00011001	'0121
7	'0001101	'012H
8	'00011010	'0122
8	'00011011	'0123
6	'000111	'013
7	'0001110	'013G
8	'00011100	'0130
8	'00011101	'0131
7	'0001111	'013H
8	'00011110	'0132
8	'00011111	'0133
3	'001	'0H
4	'0010	'02
5	'00100	'02G
6	'001000	'020
7	'0010000	'020G
8	'00100000	'0200
8	'00100001	'0201
7	'0010001	'020H
8	'00100010	'0202
8	'00100011	'0203
6	'001001	'021
7	'0010010	'021G
8	'00100100	'0210
8	'00100101	'0211
7	'0010011	'021H
8	'00100110	'0212
8	'00100111	'0213
5	'00101	'02H
6	'001010	'022
7	'0010100	'022G
8	'00101000	'0220
8	'00101001	'0221
7	'0010101	'022H
8	'00101010	'0222
8	'00101011	'0223
6	'001011	'023
7	'0010110	'023G
8	'00101100	'0230
8	'00101101	'0231
7	'0010111	'023H
