[l,n]	Base4h	Base16h	Base32
[1,0]	'G	'G	'
[2,0]	'0	'J	'
[3,0]	'0G	'N	'
[4,0]	'00	'0	'
[5,0]	'00G	'0G	'0
[6,0]	'000	'0J	'
[7,0]	'000G	'0N	'
[8,0]	'0000	'00	'
[9,0]	'0000G	'00G	'
[10,0]	'00000	'00J	'00
[10,1]	'00001	'00K	'01
[9,1]	'0000H	'00H	'
[10,2]	'00002	'00L	'02
[10,3]	'00003	'00M	'03
[8,1]	'0001	'01	'
[9,2]	'0001G	'01G	'
[10,4]	'00010	'01J	'04
[10,5]	'00011	'01K	'05
[9,3]	'0001H	'01H	'
[10,6]	'00012	'01L	'06
[10,7]	'00013	'01M	'07
[7,1]	'000H	'0P	'
[8,2]	'0002	'02	'
[9,4]	'0002G	'02G	'
[10,8]	'00020	'02J	'08
[10,9]	'00021	'02K	'09
[9,5]	'0002H	'02H	'
[10,10]	'00022	'02L	'0a
[10,11]	'00023	'02M	'0b
[8,3]	'0003	'03	'
[9,6]	'0003G	'03G	'
[10,12]	'00030	'03J	'0c
[10,13]	'00031	'03K	'0d
[9,7]	'0003H	'03H	'
[10,14]	'00032	'03L	'0e
[10,15]	'00033	'03M	'0f
[6,1]	'001	'0K	'
[7,2]	'001G	'0Q	'
[8,4]	'0010	'04	'
[9,8]	'0010G	'04G	'
[10,16]	'00100	'04J	'0g
[10,17]	'00101	'04K	'0h
[9,9]	'0010H	'04H	'
[10,18]	'00102	'04L	'0i
[10,19]	'00103	'04M	'0j
[8,5]	'0011	'05	'
[9,10]	'0011G	'05G	'
[10,20]	'00110	'05J	'0k
[10,21]	'00111	'05K	'0l
[9,11]	'0011H	'05H	'
[10,22]	'00112	'05L	'0m
[10,23]	'00113	'05M	'0n
[7,3]	'001H	'0R	'
[8,6]	'0012	'06	'
[9,12]	'0012G	'06G	'
[10,24]	'00120	'06J	'0o
[10,25]	'00121	'06K	'0p
[9,13]	'0012H	'06H	'
[10,26]	'00122	'06L	'0q
[10,27]	'00123	'06M	'0r
[8,7]	'0013	'07	'
[9,14]	'0013G	'07G	'
[10,28]	'00130	'07J	'0s
[10,29]	'00131	'07K	'0t
[9,15]	'0013H	'07H	'
[10,30]	'00132	'07L	'0u
[10,31]	'00133	'07M	'0v
[5,1]	'00H	'0H	'1
[6,2]	'002	'0L	'
[7,4]	'002G	'0S	'
[8,8]	'0020	'08	'
[9,16]	'0020G	'08G	'
[10,32]	'00200	'08J	'10
[10,33]	'00201	'08K	'11
[9,17]	'0020H	'08H	'
[10,34]	'00202	'08L	'12
[10,35]	'00203	'08M	'13
[8,9]	'0021	'09	'
[9,18]	'0021G	'09G	'
[10,36]	'00210	'09J	'14
[10,37]	'00211	'09K	'15
[9,19]	'0021H	'09H	'
[10,38]	'00212	'09L	'16
[10,39]	'00213	'09M	'17
[7,5]	'002H	'0T	'
[8,10]	'0022	'0a	'
[9,20]	'0022G	'0aG	'
[10,40]	'00220	'0aJ	'18
[10,41]	'00221	'0aK	'19
[9,21]	'0022H	'0aH	'
[10,42]	'00222	'0aL	'1a
[10,43]	'00223	'0aM	'1b
[8,11]	'0023	'0b	'
[9,22]	'0023G	'0bG	'
[10,44]	'00230	'0bJ	'1c
[10,45]	'00231	'0bK	'1d
[9,23]	'0023H	'0bH	'
[10,46]	'00232	'0bL	'1e
[10,47]	'00233	'0bM	'1f
[6,3]	'003	'0M	'
[7,6]	'003G	'0V	'
[8,12]	'0030	'0c	'
[9,24]	'0030G	'0cG	'
[10,48]	'00300	'0cJ	'1g
[10,49]	'00301	'0cK	'1h
[9,25]	'0030H	'0cH	'
[10,50]	'00302	'0cL	'1i
[10,51]	'00303	'0cM	'1j
[8,13]	'0031	'0d	'
[9,26]	'0031G	'0dG	'
[10,52]	'00310	'0dJ	'1k
[10,53]	'00311	'0dK	'1l
[9,27]	'0031H	'0dH	'
[10,54]	'00312	'0dL	'1m
[10,55]	'00313	'0dM	'1n
[7,7]	'003H	'0Z	'
[8,14]	'0032	'0e	'
[9,28]	'0032G	'0eG	'
[10,56]	'00320	'0eJ	'1o
[10,57]	'00321	'0eK	'1p
[9,29]	'0032H	'0eH	'
[10,58]	'00322	'0eL	'1q
[10,59]	'00323	'0eM	'1r
[8,15]	'0033	'0f	'
[9,30]	'0033G	'0fG	'
[10,60]	'00330	'0fJ	'1s
[10,61]	'00331	'0fK	'1t
[9,31]	'0033H	'0fH	'
[10,62]	'00332	'0fL	'1u
[10,63]	'00333	'0fM	'1v
[4,1]	'01	'1	'
[5,2]	'01G	'1G	'2
[6,4]	'010	'1J	'
[7,8]	'010G	'1N	'
[8,16]	'0100	'10	'
[9,32]	'0100G	'10G	'
[10,64]	'01000	'10J	'20
[10,65]	'01001	'10K	'21
[9,33]	'0100H	'10H	'
[10,66]	'01002	'10L	'22
[10,67]	'01003	'10M	'23
[8,17]	'0101	'11	'
[9,34]	'0101G	'11G	'
[10,68]	'01010	'11J	'24
[10,69]	'01011	'11K	'25
[9,35]	'0101H	'11H	'
[10,70]	'01012	'11L	'26
[10,71]	'01013	'11M	'27
[7,9]	'010H	'1P	'
[8,18]	'0102	'12	'
[9,36]	'0102G	'12G	'
[10,72]	'01020	'12J	'28
[10,73]	'01021	'12K	'29
[9,37]	'0102H	'12H	'
[10,74]	'01022	'12L	'2a
[10,75]	'01023	'12M	'2b
[8,19]	'0103	'13	'
[9,38]	'0103G	'13G	'
[10,76]	'01030	'13J	'2c
[10,77]	'01031	'13K	'2d
[9,39]	'0103H	'13H	'
[10,78]	'01032	'13L	'2e
[10,79]	'01033	'13M	'2f
[6,5]	'011	'1K	'
[7,10]	'011G	'1Q	'
[8,20]	'0110	'14	'
[9,40]	'0110G	'14G	'
[10,80]	'01100	'14J	'2g
[10,81]	'01101	'14K	'2h
[9,41]	'0110H	'14H	'
[10,82]	'01102	'14L	'2i
[10,83]	'01103	'14M	'2j
[8,21]	'0111	'15	'
[9,42]	'0111G	'15G	'
[10,84]	'01110	'15J	'2k
[10,85]	'01111	'15K	'2l
[9,43]	'0111H	'15H	'
[10,86]	'01112	'15L	'2m
[10,87]	'01113	'15M	'2n
[7,11]	'011H	'1R	'
[8,22]	'0112	'16	'
[9,44]	'0112G	'16G	'
[10,88]	'01120	'16J	'2o
[10,89]	'01121	'16K	'2p
[9,45]	'0112H	'16H	'
[10,90]	'01122	'16L	'2q
[10,91]	'01123	'16M	'2r
[8,23]	'0113	'17	'
[9,46]	'0113G	'17G	'
[10,92]	'01130	'17J	'2s
[10,93]	'01131	'17K	'2t
[9,47]	'0113H	'17H	'
[10,94]	'01132	'17L	'2u
[10,95]	'01133	'17M	'2v
