
n;v | Base4h| Base4| b8| b8h | b16 | b16h | b32 |32ghs
1;0  | G   | ?    | ?   | G   | ?   | G   | ?   | ?   
2;0  | 0   | 0    | ?   | I   | ?   | I   | ?   | ?   
3;0  | 0G  | ?    | 0   | 0   | ?   | M   | ?   | ?   
4;0  | 00  | 00   | ?   | 0G  | 0   | 0   | ?   | ?   
5;0  | 00G | ?    | ?   | 0I  | ?   | 0G  | 0   | 0   
5;1  | 00H | ?    | ?   | 0J  | ?   | 0H  | 1   | 1   
4;1  | 01  | 01   | ?   | 0H  | 1   | 1   | ?   | ?   
5;2  | 01G | ?    | ?   | 0K  | ?   | 1G  | 2   | 2   
5;3  | 01H | ?    | ?   | 0L  | ?   | 1H  | 3   | 3   
3;1  | 0H  | ?    | 1   | 1   | ?   | N   | ?   | ?   
4;2  | 02  | 02   | ?   | 1G  | 2   | 2   | ?   | ?   
5;4  | 02G | ?    | ?   | 1I  | ?   | 2G  | 4   | 4   
5;5  | 02H | ?    | ?   | 1J  | ?   | 2H  | 5   | 5   
4;3  | 03  | 03   | ?   | 1H  | 3   | 3   | ?   | ?   
5;6  | 03G | ?    | ?   | 1K  | ?   | 3G  | 6   | 6   
5;7  | 03H | ?    | ?   | 1L  | ?   | 3H  | 7   | 7   
2;1  | 1   | 1    | ?   | J   | ?   | J   | ?   | ?   
3;2  | 1G  | ?    | 2   | 2   | ?   | O   | ?   | ?   
4;4  | 10  | 10   | ?   | 2G  | 4   | 4   | ?   | ?   
5;8  | 10G | ?    | ?   | 2I  | ?   | 4G  | 8   | 8   
5;9  | 10H | ?    | ?   | 2J  | ?   | 4H  | 9   | 9   
4;5  | 11  | 11   | ?   | 2H  | 5   | 5   | ?   | ?   
5;10 | 11G | ?    | ?   | 2K  | ?   | 5G  | a   | b   
5;11 | 11H | ?    | ?   | 2L  | ?   | 5H  | b   | c   
3;3  | 1H  | ?    | 3   | 3   | ?   | P   | ?   | ?   
4;6  | 12  | 12   | ?   | 3G  | 6   | 6   | ?   | ?   
5;12 | 12G | ?    | ?   | 3I  | ?   | 6G  | c   | d   
5;13 | 12H | ?    | ?   | 3J  | ?   | 6H  | d   | e   
4;7  | 13  | 13   | ?   | 3H  | 7   | 7   | ?   | ?   
5;14 | 13G | ?    | ?   | 3K  | ?   | 7G  | e   | f   
5;15 | 13H | ?    | ?   | 3L  | ?   | 7H  | f   | g   
1;1  | H   | ?    | ?   | H   | ?   | H   | ?   | ?   
2;2  | 2   | 2    | ?   | K   | ?   | K   | ?   | ?   
3;4  | 2G  | ?    | 4   | 4   | ?   | Q   | ?   | ?   
4;8  | 20  | 20   | ?   | 4G  | 8   | 8   | ?   | ?   
5;16 | 20G | ?    | ?   | 4I  | ?   | 8G  | g   | h   
5;17 | 20H | ?    | ?   | 4J  | ?   | 8H  | h   | j   
4;9  | 21  | 21   | ?   | 4H  | 9   | 9   | ?   | ?   
5;18 | 21G | ?    | ?   | 4K  | ?   | 9G  | i   | k   
5;19 | 21H | ?    | ?   | 4L  | ?   | 9H  | j   | m   
3;5  | 2H  | ?    | 5   | 5   | ?   | R   | ?   | ?   
4;10 | 22  | 22   | ?   | 5G  | a   | a   | ?   | ?   
5;20 | 22G | ?    | ?   | 5I  | ?   | aG  | k   | n   
5;21 | 22H | ?    | ?   | 5J  | ?   | aH  | l   | p   
4;11 | 23  | 23   | ?   | 5H  | b   | b   | ?   | ?   
5;22 | 23G | ?    | ?   | 5K  | ?   | bG  | m   | q   
5;23 | 23H | ?    | ?   | 5L  | ?   | bH  | n   | r   
2;3  | 3   | 3    | ?   | L   | ?   | L   | ?   | ?   
3;6  | 3G  | ?    | 6   | 6   | ?   | S   | ?   | ?   
4;12 | 30  | 30   | ?   | 6G  | c   | c   | ?   | ?   
5;24 | 30G | ?    | ?   | 6I  | ?   | cG  | o   | s   
5;25 | 30H | ?    | ?   | 6J  | ?   | cH  | p   | t   
4;13 | 31  | 31   | ?   | 6H  | d   | d   | ?   | ?   
5;26 | 31G | ?    | ?   | 6K  | ?   | dG  | q   | u   
5;27 | 31H | ?    | ?   | 6L  | ?   | dH  | r   | v   
3;7  | 3H  | ?    | 7   | 7   | ?   | T   | ?   | ?   
4;14 | 32  | 32   | ?   | 7G  | e   | e   | ?   | ?   
5;28 | 32G | ?    | ?   | 7I  | ?   | eG  | s   | w   
5;29 | 32H | ?    | ?   | 7J  | ?   | eH  | t   | x   
4;15 | 33  | 33   | ?   | 7H  | f   | f   | ?   | ?   
5;30 | 33G | ?    | ?   | 7K  | ?   | fG  | u   | y   
5;31 | 33H | ?    | ?   | 7L  | ?   | fH  | v   | z   

 total de itens: 62

30;165646986      | 021313321022022  | 021313321022022   | 1167711212       | 1167711212       | ?       | 277e4a2K| 4tv4ka  | 4xz4nb  
31;331293972      | 021313321022022G | ?                 | ?                | 1167711212G      | ?       | 277e4a2Q| ?       | ?       
32;662587944      | 0213133210220220 | 0213133210220220  | ?                | 1167711212I      | 277e4a28| 277e4a28| ?       | ?       
33;1325175888     | 0213133210220220G| ?                 | 11677112120      | 11677112120      | ?       | 277e4a28G| ?       | ?       
34;2650351776     | 02131332102202200| 02131332102202200 | ?                | 11677112120G     | ?       | 277e4a28I| ?       | ?       
